ܐܦܪܝܩܐ	Afrika
ܣܕܪܐ:ܐܣܛܪܘܢܘܡܝܐ	Kategori:Astronomi
ܨܚܪܐܐ	Sahara
ܫܐܕܐ	Djävul
ܒܝܬ ܟܬܒܐ	Bibliotek
ܫܘܠܛܢܘܬܐ (ܫܘܬܐܣܐ)	Regering
ܬܫܝܢ ܫܝ ܗܘܐܢܓ	Qin Shi Huangdi
ܡܕܢܚܐ ܡܨܥܝܬܐ	Mellanöstern
ܡܠܟܘܬܐ	Monarki
ܩܘܛܢܝܘܬܐ	Republik
ܐܬܪܐ	Stat
ܓܒܐ	Politiskt parti
ܝܗܘܕܝܐ	Judar
ܝܡܡܬܐ ܪܘܪܒܬܐ	Stora sjöarna
ܐܘܩܝܢܘܣ ܬܝܡܢܝܐ	Antarktiska oceanen
ܐܕܢܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Öra
ܢܚܝܪܐ	Nos
ܥܝܢܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Öga
ܥܘܩܒܪܬܐ	Muskel
ܙܡܝܪܬܐ	Sång
ܓܡܠܐ	Kameler
ܫܘܫܡܢܐ	Myror
ܠܫܢܐ ܗܘܠܢܕܝܐ	Nederländska
ܐܡܐ (ܒܝܬܝܘܬܐ)	Moder
ܐܒܐ (ܒܝܬܝܘܬܐ)	Fader
1847	1847
ܨܦܪܐ (ܙܒܢܐ)	Morgon
ܪܡܫܐ	Kväll
ܩܛܝܢܬܐ	Minut
ܠܫܢܐ ܪܘܣܝܐ	Ryska
ܩܢܘܢܐ	Juridik
ܠܫܢܐ ܨܝܢܝܐ	Kinesiska
ܕܡܐ	Blod
ܬܓܪܘܡܬܐ	Skelett
ܪܐܬܐ	Lunga
ܠܫܢܐ ܪܘܡܢܝܐ	Rumänska
ܡܛܪܐ	Regn
ܢܠܣܘܢ ܡܐܢܕܝܠܐ	Nelson Mandela
ܐܒܢܐ	Bergart
ܥܢܢܐ	Moln
ܩܢܘܢܐ ܕܠܥܙܐ	Grammatik
ܠܫܢܐ ܓܘܪܓܝܐ	Georgiska
ܝܘܠܦܢ ܡܡܫܚܘܬܐ	Nationalekonomi
ܙܘܙܐ	Valuta
ܡܕܐܬܐ	Skatt
ܐܠܦܒܝܬ ܥܪܒܝܐ	Arabiska alfabetet
ܐܠܦܒܝܬ ܝܘܢܝܐ	Grekiska alfabetet
ܐܠܦܒܝܬ ܠܐܛܝܢܝܐ	Latinska alfabetet
ܣܕܪܐ:ܦܪܢܣܐ	Kategori:Frankrike
ܟܢܫܐ	Samhälle (sociologi)
ܓܒܪܐ	Man
ܙܘܘܓܐ	Äktenskap
ܙܕܩܐ ܕܒܪܢܫܐ	Mänskliga rättigheter
ܩܪܒܐ ܓܘܝܐ	Inbördeskrig
ܓܪܡܐ ܕܣܢܘܢܝܬܐ	Bröstben
ܬܪܝܢܐ	Juice
ܚܠܒܐ (ܕܝܘܒܐ)	Mjölk
ܛܘܪܐ	Berg
ܡܕܒܪܐ	Öken
ܠܫܢܐ ܐܠܒܢܝܐ	Albanska
ܠܫܢܐ ܐܪܡܢܝܐ	Armeniska
ܝܘܗܐܢ ܓܘܛܢܒܪܓ	Johannes Gutenberg
ܠܫܢܐ ܣܘܝܕܝܐ	Svenska
ܢܝܩܘܠܐ ܛܣܠܐ	Nikola Tesla
ܡܘܫܐ	Mose
ܬܕܐ	Kvinnobröst
ܢܘܗܪܐ (ܚܙܝܬܐ)	Ljus
ܠܫܢܐ ܝܘܢܝܐ	Grekiska
ܠܫܢܐ ܦܪܣܝܐ	Persiska
ܬܘܕܝܬܐ	Religion
ܐܒܪܗܡ	Abraham (patriark)
ܣܦܪܐ ܕܒܪܝܬܐ	Första Moseboken
ܠܫܢܐ ܩܢܛܘܢܝܐ	Kantonesiska
ܠܫܢܐ ܡܢܕܪܝܢܝܐ	Mandarin (språk)
ܦܘܠܘܣ ܫܠܝܚܐ	Paulus
ܙܝܓܡܘܢܕ ܦܪܘܝܕ	Sigmund Freud
ܙܠܛܐ	Sallad
ܝܗܘܕܝܘܬܐ	Judendom
ܠܫܢܐ ܥܒܪܝܐ	Hebreiska
ܟܒܕܐ	Lever
ܛܚܠܐ	Mjälte
ܟܘܠܝܬܐ	Njure
ܫܠܦܘܚܬܐ	Urinblåsan
ܐܫܟܐ	Testikel
ܐܘܩܝܢܘܣ	Ocean
ܒܘܕܗܐ	Buddha
ܡܘܚܡܕ	Muhammed
ܟܪܣܐ	Buken
ܚܒܠܐ ܟܘܒܝܐ	Ryggmärg
ܘܪܝܕܐ	Ven (blodkärl)
ܡܪܒܥܐ	Livmoder
ܠܫܢܐ (ܗܕܡܐ)	Tunga
ܓܝܕܐ	Nerv
ܨܘܪܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Hals
ܦܘܡܐ	Mun
ܓܓܪܬܐ	Struphuvud
ܡܥܝܐ	Tarm
ܫܪܝܬܐ	Led
ܚܕܝܐ	Bröst
ܬܝܪܬܐ	Körtel
ܚܠܒܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Mellangärde
ܫܪܝܢܐ	Artär
A	A
B	B
ܢܘܛܦܬܐ	Sädesvätska
G	G
U	U
Z	Z
F	F
J	J
ܐܠܦܒܝܬ	Alfabet
T	T
C	C
R	R
D	D
Α	Alfa
Ω	Omega
I	I
Μ	My
E	E
H	H
ܗܐܪܠܡ (ܗܘܠܢܕܐ)	Haarlem
K	K
L	L
M	M
N	N
O	O
Q	Q
S	S
V	V
W	W
X	X
Y	Y
ܐܢܫܟܕܐ	Enschede
ܗܢܓܠܘ	Hengelo
Φ	Fi
ܝܘܢܐ	Duvor
ܐܝܠܢܐ	Träd
Λ	Lambda
ܓܒܬܐ	Ost
ܥܢܒܬܐ	Druva
ܕܒܫܐ	Honung
ܒܣܪܐ	Kött
ܫܟܪ	Socker
ܣܦܪܙܒܢܐ	Tidning
ܙܥܘܩܐ	Telefon
ܡܪܕܘܬܐ	Kultur
ܡܥܝܐ ܥܒܝܐ	Tjocktarm
