ਅਫ਼ਰੀਕਾ	Afrika
ਆਲ ਇੰਡੀਆ ਅੰਨਾ ਦ੍ਰਾਵਿੜ ਮੁਨੇਤਰ ਕੜਗਮ	All India Anna Dravida Munnetra Kazhagam
ਸ਼ੁੰਗ ਰਾਜਵੰਸ਼	Sunga
ਫ਼ਿਰੋਜ਼ਪੁਰ	Firozpur
ਸ਼੍ਰੀਰੰਗਾਪਟਨਮ	Shrirangapattana
ਖੰਭਾਤ ਦੀ ਖਾੜੀ	Cambaybukten
ਰੰਗ ਦ੍ਰਿਸ਼	Spektrum
ਸਿਰਮੌਰ ਜ਼ਿਲਾ	Sirmaur (distrikt)
ਸਾਧ-ਸੰਤ	Sadhu
ਰੁਜ਼ਗਾਰ	Anställd
ਬਾਬਰੀ ਮਸਜਿਦ	Babri Masjid
ਦਾ ਫਾਲਟ ਇਨ ਆਵਰ ਸਟਾਰਸ (ਨਾਵਲ)	Förr eller senare exploderar jag
ਹਿਜੜਾ	Hijras
ਕਾਂਗੜਾ	Kangra
ਮਾਇਕਲ ਮਧੁਸੂਦਨ ਦੱਤ	Michael Madhusudan Datta
ਹੂਗਜ਼ ਐੱਚ-੪	Hughes H-4 Hercules
ਯਥਾਰਥਵਾਦ (ਸਾਹਿਤ)	Realismens litteratur
ਮਸੂਰੀ	Mussoorie
ਵੈਸਟ ਇੰਡੀਜ਼	Västindien
ਗੁੱਡੀ ਦਾ ਘਰ	Ett dockhem
ਪਦਮ ਵਿਭੂਸ਼ਨ	Padma Vibhushan
ਹਾਇਲ	Ha'il
ਮਾਚੂ ਪਿਕਚੂ	Machu Picchu
ਤੇਲੰਗਾਨਾ	Telangana
੨੦੦੮ ਓਲੰਪਿਕ ਖੇਡਾਂ ਦੇ ਵਿੱਚ ਕੁਸ਼ਤੀ – ਪੁਰਸ਼ਾਂ ਦੀ ਫ੍ਰੀਸਟਾਇਲ ੬੬ ਕਿਲੋਗਰਾਮ	Lättvikt i fristil för herrar i brottning vid olympiska sommarspelen 2008
ਟ੍ਰਾਂਸਪੋਰਟ ਫ਼ਾਰ ਲੰਡਨ	Transport for London
ਟਰਫ਼ ਮੂਰ	Turf Moor
ਭੰਗ	Bhang
ਲੌਂਗ	Långpeppar
ਵਖਰੇਵਾਂ	Separatism (statsvetenskap)
ਸਰੋਦ	Sarod
ਹੈਤੀ ਇਨਕ਼ਲਾਬ	Haitiska revolutionen
ਗੁਰਮੁਖੀ ਲਿਪੀ	Gurmukhi
ਭਾਰਦਵਾਜ	Bharadvaja
ਰਾਸ਼ਟਰਮੰਡਲ ਖੇਡਾਂ 2010	Samväldesspelen 2010
ਭਾਰਤੀ ਸੰਸਦ	Indiens parlament
ਸ਼ੇਖ਼ ਜ਼ਾਇਦ ਮਸਜਿਦ	Schejk Zayed-moskén
ਗੀਗਾਬਾਈਟ ਟੈਕਨਾਲਜੀ	Gigabyte (företag)
ਮਿਖ਼ਾਇਲ ਪ੍ਰਿਸ਼ਵਿਨ	Michail Prisjvin
ਵਗਾਰ	Tvångsarbete
ਭੌਤਿਕਵਾਦ ਅਤੇ ਅਨੁਭਵਸਿੱਧ-ਆਲੋਚਨਾ	Materialismen och empiriokriticismen
ਜੇਮਜ਼ ਰੈਡਫ਼ੀਲਡ	James Redfield
ਦ ਰਾਈਮ ਆਫ਼ ਦੀ ਏਨਸੀਐਂਟ ਮੇਰੀਨਰ	Sången om den gamle sjömannen
ਬਟਾਲਾ	Batala
ਬਠਿੰਡਾ	Bathinda
ਅੰਗ (ਸਰੀਰੀ ਬਣਤਰ)	Organ
ਦੁਨੀਆਂ ਦੇ ਨਵੇਂ ਸੱਤ ਅਜੂਬੇ	Världens sju nya underverk
ਇਲਿਆਸ ਖੌਰੀ	Elias Khoury
ਪਾਲ ਸਵੀਜੀ	Paul Sweezy
ਵਿਸ਼ਵ ਮਹਾਂਸਾਗਰ	Världshavet
ਵਾਲਮੀਕ	Valmiki
ਫ਼ੌਜੀ ਕਨੂੰਨ	Krigslagar
ਬੇਗਾਡਾਨ	Bégadan
ਸ਼ਿਕਰਾ	Shikra
ਆਰੀਆ ਸਮਾਜ	Arya Samaj
ਬੇਗਮ ਹਜ਼ਰਤ ਮਹਲ	Begum Hazrat Mahal
ਕਲਾਸੀਕਲ ਗਿਟਾਰ	Klassisk gitarr
ਵਿਲੀਅਮ ਰੋਜੇੱਟੀ	William Michael Rossetti
ਦ ਹੌਬਿਟ: ਦ ਡੈਸੋਲੇਸ਼ਨ ਆਫ਼ ਸਮੌਗ	Hobbit: Smaugs ödemark
ਜੇਟ ਏਅਰਵੇਜ਼	Jet Airways
ਕੋਲਾਰ	Kolar
ਰਿਗਵੇਦ	Rigveda
ਕਮਿਊਨਿਟੀ	Community (TV-serie)
ਸ਼ੁਜੀ ਨਾਕਾਮੁਰਾ	Shuji Nakamura
ਫੁਮਲਹੌਤ ਬੀ	Fomalhaut b
ਓਗਰੇ, ਲਾਤਵੀਆ	Ogre
ਮੁਲਕ ਰਾਜ ਆਨੰਦ	Mulk Raj Anand
ਰਸਾਇਣਕ ਵਰਗੀਕਰਨ	Indelning av kemiska ämnen
ਅਲੈਗਜ਼ੈਂਡਰ ਸਰਾਫ਼ੀਮੋਵਿਚ	Aleksandr Serafimovitj
ਸ਼ੁਕੁਮਾਰ ਰਾਏ	Sukumar Ray
ਮਿਊਰੀਅਲ ਰੂਕਾਇਜ਼ਰ	Muriel Rukeyser
ਦਾਰਸ਼ਨਕ ਯਥਾਰਥਵਾਦ	Realism (filosofi)
ਲਸ਼ਕਰ-ਏ-ਤਈਬਾ	Lashkar-e-Taiba
ਸੰਧੂਰ	Vermilion
ਯੂਨੀਸੈਫ਼	Unicef
ਨੈਸ਼ਨਲ ਪਾਰਟੀ (ਦੱਖਣੀ ਅਫ਼ਰੀਕਾ)	Nationalistpartiet (Sydafrika)
ਇਸਤਾਦੀਓ ਐੱਲ ਮਾਦਰੀਗਾਲ	El Madrigal
ਮੋਇਨੁੱਦੀਨ ਚਿਸ਼ਤੀ	Muinuddin Chishti
ਨਵੀਨ ਆਲੋਚਨਾ	Nykritik
ਰੂਟਸ (ਨਾਵਲ)	Rötter (roman)
ਬੁਰਗੋਸ ਵੱਡਾ ਗਿਰਜਾਘਰ	Katedralen i Burgos
ਸ੍ਰੀਲੰਕਾ ਮਾਤਾ	Sri Lanka Matha
ਕਾਸਾ ਵਿਸੇਂਸ	Casa Vicens
ਬ੍ਰਹਮ	Brahman
ਸਾਰਾਂਦੇ ਜ਼ਿਲਾ	Sarandë distrikt
ਗਲੋਕਲੀਕਰਨ	Glokalisering
ਧੱਮਪਦ	Dhammapada
ਛਿਲਾ	Barnsäng
ਯਾਸਨਾਇਆ ਪੋਲੀਆਨਾ	Jasnaja Poljana
ਗੀਤਕਾਰ	Låtskrivare
ਅੰਕਲ ਵਾਨਿਆ	Onkel Vanja
ਚਾਰ ਮਹਾਨ ਕਲਾਸੀਕਲ ਨਾਵਲ	De fyra stora talspråksromanerna
ਲੁਸਿਸਤਰਾਤੇ	Lysistrate
ਰਿਸ਼ੀ	Rishi
ਬੰਗਾਲੀ ਲਿਪੀ	Bengalialfabetet
ਢੇਊ	Artocarpus lacucha
ਨਵੋਈ	Navoi
ਅਜੀਬ ਫ਼ਲ	Strange Fruit
ਅਲੀਗੜ ਜ਼ਿਲ੍ਹਾ	Aligarh (distrikt)
ਦੱਖਣੀ ਏਸ਼ੀਆ	Sydasien
ਕਲਾ ਕਲਾ ਲਈ	L'art pour l'art
ਟੇਨੇਦੈਸ ਪਾਰਕ	Tannadice Park
ਅਸੀਰ ਰਿਆਸਤ	'Asir
ਅਸ਼ੋਕ ਦੇ ਫ਼ਰਮਾਨ	Ashokas inskrifter
ਹੱਕ	Rättighet
ਨੋ ਲੋਗੋ	No Logo
ਇਕਪਾਸੜਵਾਦ	Unilateralism
ਨਿਊਜ਼ੀਲੈਂਡ ਦੇ ਤੋਤੇ	Māoripapegojor
ਆਜ਼ਮਗੜ੍ਹ ਜ਼ਿਲਾ	Azamgarh (distrikt)
ਵਿਅਕਤੀ	Individ
ਸ਼ਮਸ ਤਬਰੇਜ਼ੀ	Shams ad-din Tabrizi
ਬਾਬਰ	Babur
ਏਸ਼ੀਆਈ ਕੋਇਲ	Asiatisk koel
ਘੱਗਰ ਹਕਰਾ ਦਰਿਆ	Ghaggar
ਪਾਕਿਸਤਾਨ ਮੁਸਲਿਮ ਲੀਗ	Pakistanska muslimska förbundet - N
ਬਹੁਜਨ ਸਮਾਜ ਪਾਰਟੀ	Bahujan Samaj Party
ਬਾਂਸਵਾੜਾ ਜ਼ਿਲ੍ਹਾ	Banswara (distrikt)
ਬਾਰਟੈਂਡਰ	Bartender
ਸੁਨਹਿਰੀ ਤਿਕੋਣ (ਦੱਖਣ-ਪੂਰਬੀ ਏਸ਼ੀਆ)	Gyllene triangeln, Asien
ਫਾਈਲੇਰੀਆ	Filariasis
ਬੈਨਜ਼ਾਈਲ	Bensylgrupp
ਗੰਗੋਤਰੀ	Gangotri
ਜ਼ੋਰਬਾ ਦ ਗਰੀਕ (ਫ਼ਿਲਮ)	Zorba (film)
ਓਪੇਰਾ ਮਿਨੀ	Opera Mini
ਸੇਂਟ ਐਂਡਰਿਊਜ਼ ਸਟੇਡੀਅਮ	St Andrew's (stadium)
ਭਾਰਤੀ ਰੇਲ	Indiens järnvägar
ਇੱਕ ਸੇਲਜਮੈਨ ਦੀ ਮੌਤ	En handelsresandes död
ਪ੍ਰਗਤੀਵਾਦ	Framstegsoptimism
ਪੈਟ੍ਰਿਕ ਥਿਸਲ ਫੁੱਟਬਾਲ ਕਲੱਬ	Partick Thistle FC
ਰਿਵਰਸਾਈਡ ਸਟੇਡੀਅਮ	Riverside Stadium
ਪਰਸ਼ੂਰਾਮ	Parashurama
ਐਗਜ਼ਿੱਟ ਪੋਲਜ਼	Vallokalsundersökning
ਲੱਸੀ	Lassi
ਤਕਨੀਕੀ ਸਿੱਖਿਆ	Yrkesutbildning
ਆਤਮ (ਦਰਸ਼ਨ)	Subjekt (filosofi)
ਗਲਪ ਲਈ ਪੁਲਿਤਜ਼ਰ ਪੁਰਸਕਾਰ	Pulitzerpriset för skönlitteratur
ਕਾਵਿ ਸ਼ਾਸਤਰ	Poetik
ਹਵਾ ਮਹਿਲ	Hawa Mahal
ਸਮਾਜਕ ਯਥਾਰਥਵਾਦ	Socialrealism
ਭਾਰਤੀ ਕਮਿਊਨਿਸਟ ਪਾਰਟੀ	Communist Party of India
ਸ਼ੇਰਵਾਨੀ	Sherwani
ਸਟ੍ਰੈਪਟੋਕੋਕਲ ਫੇਰਿਨਜਾਈਟਿਸ	Streptokockfaryngit
ਕਚਨਾਰ	Orkidébauhinia
ਓਬਲੋਮੋਵ	Oblomov
ਨੋਕੀਆ 5800 ਐਕਸਪ੍ਰੇਸ ਮਿਊਜਿਕ	Nokia 5800
ਪੱਛਮੀ ਦਰਸ਼ਨ	Västerländsk filosofi
ਨਿੰਜਾਤੋ	Ninjato
ਸਾਇਆਨੇਟ	Cyanater
ਏਸ਼ੀਆਈ ਓਲੰਪਿਕ ਪਰਿਸ਼ਦ	Asiens olympiska råd
ਕੁੰਤੀ	Kunti
ਪ੍ਰਸ਼ਾਂਤ ਟਾਪੂ	Lista över öar i Stilla havet
ਅਰਥਸ਼ਾਸਤਰ ਦਾ ਸ਼ਿਕਾਗੋ ਸਕੂਲ	Chicagoskolan (ekonomi)
ਗ਼ੁਲਾਮ ਖ਼ਾਨਦਾਨ	Mamlukdynastin i Delhi
ਸ਼ਹਿਨਾਈ	Shehnai
ਇਸ਼ਤਾਦਿਊ ਮੁਨਸਿਪਲ ਡੀ ਬ੍ਰਾਗਾ	Estádio Municipal de Braga
ਅਲਮੂਦੇਨਾ ਗਿਰਜਾਘਰ	Catedral de la Almudena
ਅਸ਼ਵਗੰਧਾ	Withania somnifera
ਅਲਬਾਹਾ ਸੂਬਾ	Al Bahah
ਨੈੱਟ ਨਿਰਪੱਖਤਾ	Nätneutralitet
ਮਾਰਕਸੀ ਅਰਥਸ਼ਾਸਤਰ	Marxistisk ekonomi
ਡਾ. ਭਗਵਾਨ ਦਾਸ	Bhagwan Das
ਭੰਗੜਾ	Bhangra
ਨੰਦੇੜ	Nanded
ਰੁਦਰ	Rudra
ਕੁੜਤਾ	Kurta
ਅੰਤਰਰਾਸ਼ਟਰੀ ਨ੍ਰਿਤ ਦਿਵਸ	Dansens dag
ਰੁਮਾਂਸ ਨਾਵਲ	Kärleksroman
ਬੀਜੂ ਜਨਤਾ ਦਲ	Biju Janata Dal
ਦੁਪਾਸੜਵਾਦ	Bilateralt avtal
ਅ ਥਾਊਜੈਂਡ ਸਪਲੈਨਡਿਡ ਸਨਜ਼	Tusen strålande solar
ਜੋਫ਼ਖ਼ੁਆ-ਗੀਸ਼ਾਖ਼ ਸਟੇਡੀਅਮ	Stade Geoffroy-Guichard
ਇੱਕ ਔਰਤ ਦਾ ਚਿਹਰਾ	Porträtt av en dam
ਘਣ	Kub (aritmetik)
ਬੰਨ੍ਹਵੀਂ ਖ਼ੁਰਾਕ	Bantning
ਰੇਈਫ਼ਿਕੇਸ਼ਨ (ਮਾਰਕਸਵਾਦ)	Reifikation (Marxism)
ਵਾਲਡਨ	Walden (essä)
ਬਿਸ਼ਨੋਈ ਧਰਮ	Bishnoi
ਕਾਰਡਿਫ਼ ਸਿਟੀ ਸਟੇਡੀਅਮ	Cardiff City Stadium
ਬਲੂਮਫ਼ੀਲਡ ਰੋਡ	Bloomfield Road
ਸੰਸਾਰ ਇਨਕਲਾਬ	Världsrevolutionen
ਮੇਨ ਦੀ ਖਾੜੀ	Mainebukten
ਸੈਕਸ ਆਨ ਦ ਬੀਚ	Sex on the Beach
ਮਾਇਆ ਦੇਵੀ	Mahamaya
ਇਟਾਵਾ	Etawah
ਚਿਤਰਾਲ ਜਿਲਾ	Chitral
ਆਧੁਨਿਕਤਾਵਾਦ	Modernism
ਕਾਲੀ ਮੱਛਰੀ	Näbbskinnbaggar
ਬਲੱਡ ਮਨੀ	Blodspenningar
ਬਲੱਡ ਵੈਡਿੰਗ	Blodsbröllop
ਬੋਫੋਰਸ ਘੁਟਾਲਾ	Boforsaffären
ਕਾਕੇਸ਼ੀਅਨ ਚਾਕ ਸਰਕਲ	Den kaukasiska kritcirkeln
੨੦੦੭-੨੦੦੮ ਦਾ ਮਾਲੀ ਸੰਕਟ	Finanskrisen 2007–2008
ਸ਼ਿਰਕ (ਇਸਲਾਮ)	Shirk
ਗੁੱਗਲ	Commiphora wightii
ਜਨਤਾ ਦਲ (ਯੁਨਾਈਟਡ)	Janata Dal (United)
ਚੋਣ ਪਰਚੀ	Valsedel
ਟਰਾਂਸਨਿਸਤਰੀਆ	Transnistrien
ਕਲੰਕ (ਨਾਵਲ)	Den eldröda bokstaven
ਦ ਡੈਨ	The New Den
ਮੁਲ‍ਤਾਨੀ ਮਿੱਟੀ	Blekjord
ਦੁਪੱਟਾ	Dupatta
ਜਟਾਮਾਂਸੀ	Valeriana jatamansi
ਤ੍ਰਿਣਮੂਲ ਕਾਂਗਰਸ	All India Trinamool Congress
ਸੰਗ	Blyghet
ਮਦਦ:ਵਿਸ਼ਾ-ਵਸਤੂ	Wikipedia:Hjälp
ਵਧਾਈ ਪੱਤਰ	Gratulationskort
ਅਨੋਇਤਾ ਸਟੇਡੀਅਮ	Estadio Anoeta
ਹਰਭਜਨ ਸਿੰਘ ਯੋਗੀ	Yogi Bhajan
ਖ਼ਿਲਜੀ ਖ਼ਾਨਦਾਨ	Khaldjidynastin
ਬੂਥੀਆ ਦੀ ਖਾੜੀ	Boothiaviken
ਕੋਫ਼ੀ ਅਵੂਨੋਰ	Kofi Awoonor
੨੦੦੮ ਓਲੰਪਿਕ ਖੇਡਾਂ ਦੇ ਵਿੱਚ ਕੁਸ਼ਤੀ – ਪੁਰਸ਼ਾਂ ਦੀ ਫ੍ਰੀਸਟਾਇਲ ੮੪ ਕਿਲੋਗਰਾਮ	Mellanvikt i fristil för herrar i brottning vid olympiska sommarspelen 2008
ਆਤਾਪੁਐਰਕਾ ਪਹਾੜ	Atapuerca
ਇਟਾਰਸੀ	Itarsi
ਹੁਸ਼ਿਆਰਪੁਰ	Hoshiarpur
ਗਣੇਸ਼ ਚਤੁਰਥੀ	Ganesh-Chaturthi
ਰਣਨੀਤਕ ਯੋਜਨਾਬੰਦੀ	Strategisk planering
ਪਦਮ ਭੂਸ਼ਣ	Padma Bhushan
ਯੂਰੀ ਕਜ਼ਾਕੋਵ	Jurij Kazakov
ਉਂਨਾਵ	Unnao
ਕੇਸੂ	Butea monosperma
ਭਾਰਤੀ ਰਿਜ਼ਰਵ ਬੈਂਕ	Indiens centralbank
ਕੀ ਕਰਨਾ ਲੋੜੀਏ?	Vad bör göras?
ਲੱਖ	Lakh
ਉਜਰਤੀ ਕਿਰਤ	Förvärvsarbete
ਨਾਨਾ ਸਾਹਿਬ	Nana Sahib
ਦੱਖਣ-ਪੱਛਮੀ ਅਫ਼ਰੀਕਾ	Sydvästafrika
ਕੌਂਚ ਫਲੀ	Mucuna pruriens
ਆਲਦੋ ਮੋਨਤਾਨੋ	Aldo Montano
ਸਾਂਤਾ ਬਾਰਬਰਾ	Santa Barbara (olika betydelser)
ਦ ਵੈਲੀ (ਲੰਡਨ)	The Valley (arena)
ਤੁਲਸੀ	Ocimum tenuiflorum
ਵੰਝਲੀ	Bansuri
ਸਨਾਇਪਰ (੧੯੯੩ ਫ਼ਿਲਮ)	Sniper (film)
ਸਾਧੂ ਸੁੰਦਰ ਸਿੰਘ	Sadhu Sundar Singh
ਗੂਡੀਸਨ ਪਾਰਕ	Goodison Park
ਅਰਜਨਟੀਨੀ ਸਮੁੰਦਰ	Argentinska havet
ਸ਼ੇਖ਼ੂਪੁਰਾ	Sheikhupura
ਕੀਮੋਥੇਰੇਪੀ	Kemoterapi
ਮੈਲਕਮ ਬ੍ਰੈਡਬਰੀ	Malcolm Bradbury
ਮੁਹੰਮਦ ਅਯੂਬ ਖਾਨ	Ayub Khan (afghan)
ਲੇਮੈਨ ਐਬਟ	Lyman Abbott
ਸ਼ੇਖ ਅਬਦੁੱਲਾ	Shejk Muhammed Abdullah
ਤੋਮਾਂ ਪਿਕੇਤੀ	Thomas Piketty
ਤੁੰਮੂਨ	Tuen Mun
ਲਹੂ ਨਾੜ	Blodkärl
ਕਸੂਰ (ਸ਼ਹਿਰ)	Kasur
ਬਾਤਾਂ ਪਾਉਣਾ	Historieberättande
ਚੋਣਵੀਂ ਨਸਲਕਸ਼ੀ	Avel
ਸ਼ਿਰੋਮਣੀ (ਦਰਸ਼ਨ)	Sublim
ਉਬਾਲ ਦਰਜਾ	Kokpunkt
ਫ਼ਾਰਸ ਸੂਬਾ	Fars (provins)
੨੦੦੮ ਓਲੰਪਿਕ ਖੇਡਾਂ ਦੇ ਵਿੱਚ ਕੁਸ਼ਤੀ – ਪੁਰਸ਼ਾਂ ਦੀ ਫ੍ਰੀਸਟਾਇਲ ੫੫ ਕਿਲੋਗਰਾਮ	Bantamvikt i fristil för herrar i brottning vid olympiska sommarspelen 2008
੨੦੦੮ ਓਲੰਪਿਕ ਖੇਡਾਂ ਦੇ ਵਿੱਚ ਕੁਸ਼ਤੀ – ਪੁਰਸ਼ਾਂ ਦੀ ਗ੍ਰੈਕੋ-ਰੋਮਨ ੫੫ ਕਿਲੋਗਰਾਮ	Bantamvikt i grekisk-romersk stil för herrar i brottning vid olympiska sommarspelen 2008
੨੦੦੮ ਓਲੰਪਿਕ ਖੇਡਾਂ ਦੇ ਵਿੱਚ ਕੁਸ਼ਤੀ – ਪੁਰਸ਼ਾਂ ਦੀ ਗ੍ਰੈਕੋ-ਰੋਮਨ ੬੬ ਕਿਲੋਗਰਾਮ	Fjädervikt i grekisk-romersk stil för herrar i brottning vid olympiska sommarspelen 2008
੨੦੦੮ ਓਲੰਪਿਕ ਖੇਡਾਂ ਦੇ ਵਿੱਚ ਕੁਸ਼ਤੀ – ਪੁਰਸ਼ਾਂ ਦੀ ਗ੍ਰੈਕੋ-ਰੋਮਨ ੭੪ ਕਿਲੋਗਰਾਮ	Weltervikt i grekisk-romersk stil för herrar i brottning vid olympiska sommarspelen 2008
੨੦੦੮ ਓਲੰਪਿਕ ਖੇਡਾਂ ਦੇ ਵਿੱਚ ਕੁਸ਼ਤੀ – ਪੁਰਸ਼ਾਂ ਦੀ ਫ੍ਰੀਸਟਾਇਲ ੭੪ ਕਿਲੋਗਰਾਮ	Weltervikt i fristil för herrar i brottning vid olympiska sommarspelen 2008
੨੦੦੮ ਓਲੰਪਿਕ ਖੇਡਾਂ ਦੇ ਵਿੱਚ ਕੁਸ਼ਤੀ – ਪੁਰਸ਼ਾਂ ਦੀ ਗ੍ਰੈਕੋ-ਰੋਮਨ ੮੪ ਕਿਲੋਗਰਾਮ	Mellanvikt i grekisk-romersk stil för herrar i brottning vid olympiska sommarspelen 2008
੨੦੦੮ ਓਲੰਪਿਕ ਖੇਡਾਂ ਦੇ ਵਿੱਚ ਕੁਸ਼ਤੀ – ਪੁਰਸ਼ਾਂ ਦੀ ਗ੍ਰੈਕੋ-ਰੋਮਨ ੯੬ ਕਿਲੋਗਰਾਮ	Tungvikt i grekisk-romersk stil för herrar i brottning vid olympiska sommarspelen 2008
ਗ਼ਾਜ਼ੀਪੁਰ	Ghazipur
ਗੰਧਾਰ ਕਲਾ	Greko-buddhistisk konst
ਗੋਲਡਨ ਗਲੋਬ ਇਨਾਮ	Golden Globe Award
ਮਧਾਣੀ	Smörkärna
ਮੁਲਕ ਅਤੇ ਸਰਕਾਰ ਦੇ ਵਰਤਮਾਨ ਮੁਖੀਆਂ ਦੀ ਸੂਚੀ	Lista över statsöverhuvuden
ਨਾਭਾ	Nabha
ਕਰਾਈਕੁੜੀ	Karaikkudi
ਜਾਲੌਰ	Jalor
ਦਾਂਡੀ	Dandi
ਫ਼ਾਲਕਰਕ ਸਟੇਡੀਅਮ	Falkirk Stadium
ਹਾਈਪੋਥਰਮੀਆ	Hypotermi
ਫ਼ੀਲੇ (ਪੁਲਾੜੀ ਜਹਾਜ਼)	Philae (landare)
ਸ਼ਾਰਲੀ ਐਬਦੋ	Charlie Hebdo
ਗਨ ਦਰਿਆ	Ganfloden
ਇਸਲਾਮੀ ਦਾਵਾ ਪਾਰਟੀ	Islamiska Dawapartiet
ਵਟਸਐਪ	WhatsApp
ਉਪ-ਕਥਾਨਕ	Subplot
ਸਤਾਦ ਦ ਲਾ ਬੋਜੁਆਖ਼	Stade de la Beaujoire
ਥੀਮ (ਬਿਰਤਾਂਤ)	Tema (narratologi)
ਗੈਲਾਡੈੱਟ ਯੂਨੀਵਰਸਿਟੀ	Gallaudet University
ਮਨੁੱਖੀ ਸੰਸਾਧਨ ਪ੍ਰਬੰਧਨ	Human resources
ਨਵ-ਮਾਰਕਸਵਾਦ	Nymarxism
ਚੰਬਲ ਦਰਿਆ	Chambal
ਸੈੱਲਹਰਸਟ ਪਾਰਕ	Selhurst Park
ਮਾਲੀ ਕੇਂਦਰ	Finanscentrum
ਕੁਰੁ	Kuru (stat)
ਲੋਕ ਮੱਤ	Folktro
ਯੋਗਸੂਤਰ	Yoga Sutras
ਮਿਸਰ ਦੇ ਆਰਮਡ ਫੋਰਸਿਜ਼	Egyptiska väpnade styrkor
ਏਕਸਕੂਸ਼ਨ	Exekvering
ਭਾਰਤ ਦਾ ਆਜ਼ਾਦੀ ਸੰਗਰਾਮ	Indiens självständighetsrörelse
ਖੰਨਾ	Khanna
ਕੈਨੇਡੀਆਈ ਡਾਲਰ	Kanadensisk dollar
ਅਲ-ਕਸੀਮ ਸੂਬਾ	Al Qasim
ਕਠ ਉਪਨਿਸ਼ਦ	Katha
ਚਮਾਰ	Chamar
ਪੇਸ਼ਾਵਰ	Peshawar
ਰਾਸ਼ਟਰਮੰਡਲ ਖੇਡਾਂ 2014	Samväldesspelen 2014
ਮੋਹ	Tillgivenhet
ਤੁਗਲਕ ਖ਼ਾਨਦਾਨ	Tughlaqdynastin
ਮੇਘਨਾ ਦਰਿਆ	Meghna
ਲੀਡਸ ਯੁਨਾਈਟਡ ਫੁੱਟਬਾਲ ਕਲੱਬ	Leeds United AFC
ਲਿਵਰਪੂਲ ਫੁੱਟਬਾਲ ਕਲੱਬ	Liverpool FC
ਤਰਾਈ ਖੇਤਰ	Terai
ਕੌਰਨਰਸ਼ੌਪ	Cornershop
ਧੋਥੜ	Dhothar
ਭਾਰਤ ਦੀਆਂ ਆਮ ਚੋਣਾਂ 2009	Parlamentsvalet i Indien 2009
ਰੋਬਰਟ ਮੋਰੀਸਨ ਮੈਕਾੲੀਵਰ	Robert Morrison MacIver
ਜੰਡ	Prosopis cineraria
ਦਰਭੰਗਾ	Darbhanga
ਸਦਮਾ ਸਿਧਾਂਤ	Chockdoktrinen
ਨਵਿਆਉਣਯੋਗ ਵਸੀਲਾ	Förnybar resurs
ਗਣਤੰਤਰ ਦਿਵਸ (ਭਾਰਤ)	Republikens dag (Indien)
ਠੱਗ	Thagger
ਗੋਗੜ	Bukfetma
ਲਿਟਲ ਬੁੱਧਾ	Lille Buddha
ਵਾਬੀ-ਸਾਬੀ	Wabi-sabi
ਪੰਚਾਇਤੀ ਰਾਜ	Panchayat
ਊਮਿਓ ਯੂਨੀਵਰਸਿਟੀ	Umeå universitet
ਚੰਪਾ	Micheliasläktet
ਸਰਪਗੰਧਾ	Rauvolfia serpentina
ਕੋਲਕਾਤਾ ਯੂਨੀਵਰਸਿਟੀ	Calcuttauniversitetet
ਸਤਪੁੜਾ	Satpurabergen
ਯੂਨੀਵਰਸਿਟੀ ਆਫ਼ ਟੈਕਨਾਲੋਜੀ, ਸਿਡਨੀ	University of Technology, Sydney
ਪੁਰਾਣਾ ਕਿਲਾ	Gamla fortet
ਦਾਜਤੀ ਪਹਾੜ	Dajti
ਟਾਹਲੀ	Shesham
ਦਵਾਤ	Bläckhorn
ਖਰੋਸ਼ਠੀ	Kharosthi
ਤੰਬੂਰਾ	Tanpura
ਫਲਸਫੇ ਦੀ ਕੰਗਾਲੀ	Filosofins elände
ਸ਼ਹੀਦ ਬਾਬਾ ਦੀਪ ਸਿੰਘ	Baba Deep Singh Ji
ਸੋਨਮ ਕਪੂਰ	Sonam Kapoor
ਲੂੰਬੜੀ ਅਤੇ ਅੰਗੂਰ	Räven och druvorna
ਸਾਮਰਾਜਵਾਦ, ਪੂੰਜੀਵਾਦ ਦੀ ਅੰਤਿਮ ਅਵਸਥਾ	Imperialismen som kapitalismens högsta stadium
ਇਕਾਂਗੀ	Enaktare
੨੦੦੮ ਓਲੰਪਿਕ ਖੇਡਾਂ ਦੇ ਵਿੱਚ ਕੁਸ਼ਤੀ – ਮਹਿਲਾਵਾਂ ਦੀ ਫ੍ਰੀਸਟਾਇਲ ੬੩ ਕਿਲੋਗਰਾਮ	Mellanvikt i fristil för damer i brottning vid olympiska sommarspelen 2008
ਕਥਾਸਰਿਤਸਾਗਰ	Kathasaritsagara
ਸ਼ੇਰ ਅਤੇ ਚੂਹਾ	Lejonet och musen
ਟੱਬਰ, ਨਿੱਜੀ ਜਾਇਦਾਦ ਅਤੇ ਰਾਜ ਦੀ ਉਤਪਤੀ	Familjens, privategendomens och statens ursprung
ਲੂਈ ਬੋਨਾਪਾਰਟ ਦਾ ਅਠਾਰ੍ਹਵਾਂ ਬਰੂਮੇਰ	Louis Bonapartes adertonde brumaire
ਗੌਫ਼ਰੀਨਾ	Klotamarant
ਨਵਾਬ	Nawab
ਦ ਗੁੱਡ ਅਰਥ	Den goda jorden
ਦੀਏਗੋ ਐਲ ਸੀਗਾਲਾ	Diego el Cigala
