આફ્રિકા	Afrika
ધર્મશાલા	Dharmsala
મેડમ તુસાદ સંગ્રહાલય	Madame Tussauds
વ્હાઈટ હાર્ટ લેન	White Hart Lane
અણુ અપ્રસાર સંધિ	Icke-spridningsavtalet
દાહોદ જિલ્લો	Dohad (distrikt)
અભિષેક બચ્ચન	Abhishek Bachchan
વિકીમેપિયા	Wikimapia
કુતુબ મિનાર	Qutab Minar
મોનોરેલ	Monorail
પોલિએસ્ટર	Polyester
કુદરતી સંપત્તિ	Naturtillgång
હનુમાન	Hanuman
ઝરખ	Strimmig hyena
પ્રીટિ ઝિન્ટા	Preity Zinta
સહી (હસ્તાક્ષર)	Signatur
ખેતર	Åker
મત્સ્યઉછેર	Vattenbruk
ઇલોરાની ગુફાઓ	Elloragrottorna
હુમાયુનો મકબરો	Humajuns grav
અષ્ટાધ્યાયી	Panini (vetenskapsman)
મતદાન	Votering
મલ્ટિમીટર	Multimeter
ઇસ્કોન	Hare Krishna
શરીર વૃદ્ધી અંતઃસ્ત્રાવ	Tillväxthormon
શક સંવત	Hinduiska kalendern
વેબ ડિઝાઈન	Webbdesign
વિલવણીકરણ	Avsaltning
સક્રિય કાર્બન	Aktivt kol
ચણોઠી	Abrus precatorius
સીતા	Sita
લક્ષ્મી મિત્તલ	Lakshmi Mittal
ગોદાવરી	Godavari
લૂઈસ વીટન	Louis Vuitton
લૌહ અયસ્ક	Järnmalm
કરકરો	Jungfrutrana
સેન્ટ જેમ્સ પાર્ક	Saint James' Park
નાણાકીય વર્ષ	Räkenskapsår
ભારતીય વાનગીઓ	Indiska köket
અનામિકા	Ringfinger
વ્યાપાર ચક્ર	Konjunktur
ઐઝવાલ	Aizawl
બાળ કામદાર	Barnarbete
રાજગીધ	Kungsgam
કાઝીરંગા રાષ્ટ્રીય ઉદ્યાન	Kaziranga nationalpark
હાર્લી-ડેવિડસન	Harley-Davidson
રસીકરણ	Vaccination
ઋતુ-પ્રવાસ	Migration (biologi)
ગોલ્ડમૅન સૅશ	Goldman Sachs
ક્રોપ સર્કલ	Sädesfältscirkel
કૃષ્ણા નદી	Krishnafloden
ખંજરી (વાદ્ય)	Tamburin
બંજી જમ્પિંગ	Bungyjump
સક્રિય કલા વીજસ્થિતિમાન	Aktionspotential
રાજેન્દ્ર પ્રસાદ	Rajendra Prasad
લીલો દરીયાઈ કાચબો	Grön havssköldpadda
દેહરાદૂન	Dehradun
ગુવાહાટી	Guwahati
લેસર પ્રિન્ટર	Laserskrivare
વિશાખાપટનમ	Visakhapatnam
વિજયવાડા	Vijayawada
જોધપુર	Jodhpur
અજમેર	Ajmer
ઉજ્જૈન	Ujjain
લુધિયાણા	Ludhiana
નાસિક	Nashik
મેરઠ	Meerut
પારસી	Parsism
મથુરા	Mathura
ઉદયપુર	Udaipur
ફરીદાબાદ	Faridabad
લડાખ	Ladakh
ઔરંગાબાદ	Aurangabad
જબલપુર	Jabalpur
મોર	Påfåglar
પ્રાઇડ પાર્ક સ્ટેડિયમ	Pride Park Stadium
રામસેતુ	Adamsbron
વાર્ટા નદી (યુરોપ)	Warta
અલીગઢ	Aligarh
પર્સનલ એરિયા નેટવર્ક	Personal Area Network
હૃદયસ્તંભતા	Hjärtstillestånd
જેક સ્પૅરો	Jack Sparrow
વાટાઘાટ	Förhandling
બ્રાયન લારા	Brian Lara
બ્રહ્મગુપ્ત	Brahmagupta
ગુરુ ગ્રંથ સાહેબ	Guru Granth Sahib
વામકુક્ષિ	Siesta
કાળી ચા	Svart te
પોર્ટ બ્લૅર	Port Blair
ખાદ્ય અને ઔષધ વહીવટીતંત્ર	Food and Drug Administration
હાવડા	Haora
સિરોહી જિલ્લો	Sirohi (distrikt)
જેટ વિમાન	Jetflygplan
ગાઝિયાબાદ	Ghaziabad
રીવર રાફ્ટિંગ	Forsränning
કટક	Cuttack
જગન્નાથપુરી	Puri
યુરોપ દિન	Europadagen
મહાબલીપુરમ	Mahabalipuram
સૂડો	Halsbandsparakit
ઇમ્ફાલ	Imphal
૧૯૬૨નું ભારત-ચીન યુદ્ધ	Kinesisk-indiska kriget
ડેલ્ટા ફોર્સ	Delta Force
કોલ્હાપૂર	Kolhapur
ઓછી ચિંતાજનક જાતિ	Livskraftig
ચેરાપુંજી	Cherrapunjee
ઘાસચારો	Djurfoder
સુગરી	Vävare
છાણીયું ખાતર	Kompost
કાંચીપુરમ	Kancheepuram
અકોલા	Akola
બરેલી	Bareilly
વારંગલ	Warangal
તબલા	Tabla
તિરુનેલવેલી	Tirunelveli
શ્રીલંકાનો આંતરવિગ્રહ	Inbördeskriget i Sri Lanka
નિસર્ગોપચાર	Naturopatisk medicin
હાથીના પગ તળે દેહાંતદંડ	Avrättning med elefant
બોયઝોન	Boyzone
ગાંધાર	Gandhara
લોંકડી	Indisk räv
રાગ	Raga
જાહેરાત એજન્સી	Reklambyrå
અય્યાવળિ	Ayyavazhi
એમપી	MP
બહુસમુદાયીત્વ	Polyfyli
ગુર્જીય્ફ	Georgij Gurdzjijev
મોરારજી દેસાઈ	Morarji Desai
સાબુદાણા	Sago
નડીઆદ	Nadiad
વુઝૂ	Abdest
સિટીગ્રુપ	Citigroup
જેસ્સી ઐસેનબર્ગ	Jesse Eisenberg
દલિત	Dalit
ઓપન શોર્ટેસ્ટ પાથ ફર્સ્ટ	Open Shortest Path First
ગૂગલ ઍનલિટિક્સ	Google Analytics
ગટરવ્યવસ્થા	Reningsverk
મહારાષ્ટ્રના મુખ્યમંત્રીઓ	Lista över premiärministrar i Maharashtra
બપૈયો	Indisk hökgök
કન્યાકુમારી	Kanniyakumari
કાચબો	Sköldpaddor
યુઇએફએ યૂરો ૨૦૧૨ વિભાગ અ	Europamästerskapet i fotboll 2012 (grupp A)
અહમદનગર	Ahmednagar
કુબેર	Kubera
માયા	Maya (hinduism)
ઓલ ઈન્ડિયા મુસ્લિમ લીગ	All India Muslim League
મહર્ષિ દયાનંદ	Dayananda Saraswati
અળવી (વનસ્પતિ)	Taro
કનીષ્ઠિકા	Lillfinger
તાળું	Lås
મદુરાઇ	Madurai
કળિયુગ	Kaliyuga
કેથોલિક યુનિવર્સિટી ઓફ સેકર્ડ હર્ટ	Università Cattolica del Sacro Cuore
રાષ્ટ્રીય પંચાંગ	Sakakalendern
ઇસરો	Indian Space Research Organisation
સિતાર	Sitar
લોક સભા	Lok Sabha
લેહ	Leh
ઉજળી પટ્ટાઇ	Stäpphök
અણ્ણા હઝારે	Anna Hazare
ઓરકુટ	Orkut
ડૉ. ભીમરાવ રામજી આંબેડકર	Bhimrao Ramji Ambedkar
માધુરી દીક્ષિત	Madhuri Dixit
જાંબુ (વૃક્ષ)	Syzygium cumini
સમાંતર કમ્પ્યુટિંગ	Parallelldator
અટલ બિહારી વાજપેયી	Atal Bihari Vajpayee
ઋત્વિક રોશન	Hrithik Roshan
ભારતીય અર્થતંત્ર	Indiens ekonomi
માન સરોવર	Manasarovar
જામા મસ્જિદ, દિલ્હી	Jama Masjid
અક્ષય કુમાર	Akshay Kumar
ક્વિંગઝાંગ રેલ્વે	Qingzang-järnvägen
નર્મદા નદી	Narmada
કોહિમા	Kohima
બીલી	Indiskt marmeladträd
ભારતીય સામ્યવાદી પક્ષ (માર્ક્સવાદી)	Communist Party of India (Marxist)
નમાજ઼	Salah
એ.સી. ભક્તિવેદાંત સ્વામી પ્રભુપાદ	Srila Prabhupada
સુકો મેવો	Torkad frukt
સોનોગ્રાફી પરીક્ષણ	Sonografi
હજ	Hajj
રાવણ	Ravana
કેવલાદેવ રાષ્ટ્રીય ઉદ્યાન	Keoladeo nationalpark
છત્રપતિ શિવાજી ટર્મિનસ	Chhatrapati Shivajistationen
ગોખરુ (વનસ્પતિ)	Tiggarnöt
નરસિંહ	Narasimha
સોલાપૂર	Solapur
કલ્પના ચાવલા	Kalpana Chawla
દાંડી સત્યાગ્રહ	Saltmarschen
શિવાજી	Shivaji
મધ્યમ વર્ગ	Medelklass
સહરાનપુર	Saharanpur
જેસલમેર	Jaisalmer
બોરડી	Jujubär
ભાવનગર	Bhavnagar
ઝાંસી	Jhansi
મખમલ	Sammet
ધનબાદ	Dhanbad
એશિયન રમતોત્સવ ૨૦૧૦	Asiatiska spelen 2010
ગોરખપુર	Gorakhpur
લાલ બહાદુર શાસ્ત્રી	Lal Bahadur Shastri
રાજ્ય સભા	Rajya Sabha
મીઠો લીમડો	Murraya koenigii
ઇવૂડ્ પાર્ક	Ewood Park
ઈંડિયા ગેટ	India Gate
ઈન્દ્રકુમાર ગુજરાલ	Inder Kumar Gujral
બ્રાઉનિંગ હાઇ-પાવર	Browning Hi-Power
પરેજીયુક્ત આહાર	Lightprodukt
ગયા	Gaya
હેલોવીન	Halloween
સૈફ અલી ખાન	Saif Ali Khan
ફિફા	Fifa
પેટન્ટ	Patent
આઈવાના બ્રલિચ માઝુરાનિચ	Ivana Brlić-Mažuranić
બાંદ્રા	Bandra
અમરેલી જિલ્લો	Amreli (distrikt)
મોગા (પંજાબ)	Moga
જુવાર	Hirs
ક્ષેત્રફળ પ્રમાણે વિશ્વના દેશોની યાદી	Lista över länder efter yta
સાંઇબાબા	Shirdi Sai Baba
માયાવતી	Mayawati
ઈન્દ્રા નૂયી	Indra Nooyi
આરણ્યક ગ્રંથો	Aranyaka
દૈયડ	Skatnäktergal
આશ્રમશાળા	Internatskola
અમરાવતી	Amravati
અમેરિકન ગૅંગ્સ્ટર	American Gangster (film)
વર્ચ્યુઅલાઈઝેશન	Virtualisering
મહા નદી	Mahanadi
દિલ્હી મેટ્રો રેલ	Delhis tunnelbana
વિંધ્યાચલ	Vindhyabergen
ભારતમાં સત્તાવાર દરજ્જો ધરાવતી ભાષાઓ	Lista över Indiens officiella språk
હરદ્વાર	Hardwar
લેંગકાવી	Langkawi
ઋજુ ઉદર સ્નાયુ	Rectus abdominis
સાગુઆરો (થોર)	Saguarokaktus
સીતાફળ	Sockerannona
બાળપણ	Barndom
માહે	Mahe, Puducherry
કડ્ડલોર	Cuddalore
શ્વેતાંબર	Svetambara
યવતમાળ	Yavatmal
ગઝલ	Ghasel
શિમોગા	Shivamogga
સફેદ પીઠ ગીધ	Vitryggig gam
સર્પગ્રીવા	Indisk ormhalsfågel
ખેરખટ્ટો	Indisk trädskata
ઓલિવ રિડલી દરીયાઈ કાચબો	Sydlig bastardsköldpadda
એબીએન એમ્રો	ABN AMRO
ચંપાવત જિલ્લો	Champawat (distrikt)
લારા દત્તા	Lara Dutta
ટિલોર	Ökentrapp
એકે ૧૦૧	AK-101
એકે-૧૦૩	AK-103
માડીકેરી	Madikeri
વેલ્લોર	Vellore
ઇડ્ડક્કિ જિલ્લો	Idukki
વલસાડ	Valsad
એરન સ્વાર્ટઝ	Aaron Swartz
બૌઢ	Baudhgarh
મિડાસ	Midas
કાટવર્ણી ટપકાંવાળી બિલાડી	Rostfläckig katt
આમળાં	Amalaki
હિમાલયન પાઈકા	Ochotona himalayana
નેપોલિયન હિલ	Napoleon Hill
રોહુ માછલી	Rohu
બુમલા માછલી	Harpadon nehereus
કનિષ્ક	Kanishka
સંત કબીર	Kabir
નથુરામ ગોડસે	Nathuram Godse
મહેશ ભૂપતિ	Mahesh Bhupathi
લોકમાન્ય ટિળક	Lokmanya Tilak
ગુરુ ગોવિંદસિંહ	Guru Gobind Singh
તુલસીદાસ	Tulasidas
ગોપાલ કૃષ્ણ ગોખલે	Gopal Krishna Gokhale
ભારતના રાષ્ટ્રપતિ	Indiens president
કૂચબિહાર	Koch Bihar
જગદીશચંદ્ર બોઝ	Jagdish Chandra Bose
ગુલઝારીલાલ નંદા	Gulzarilal Nanda
સેલ્વાસ	Silvassa
સલામત મૈથુન	Säkrare sex
ઇન્વેસ્ટમેન્ટ બેન્કિંગ	Investmentbank
બુકર ટી.વોશિંગ્ટન	Booker T. Washington
કાબરો કલકલીયો	Gråfiskare
જમશેદજી તાતા	Jamsetji Tata
પેરુ (ફળ)	Guavasläktet
બદામી વાઘોમડા	Brun sula
અભિનવ બિંદ્રા	Abhinav Bindra
અરીઠાં	Sapindus
કોલ્લમ	Kollam
ભારત રત્ન	Bharat Ratna
ઘી	Ghee
સારનાથ	Sarnath
સ્વાટ	SWAT
ભારતીય સિનેમા	Indisk film
મેરી કોમ	Mary Kom
બાંયધરી (વોરંટી)	Garanti
વ્યાસ	Vyasa
કોટા	Kota
મુરાદાબાદ	Moradabad
ભીમ બેટકાની ગુફાઓ	Bhimbetka
સામાન્ય તપાસની કક્ષાની બહારનું	Paranormal
શંકર દયાલ શર્મા	S.D. Sharma
અમરીશ લાલ પુરી	Amrish Puri
રતન તાતા	Ratan Tata
ભરતનાટ્યમ	Bharata natyam
આર. કે. નારાયણ	R.K. Narayan
અબુલ ફઝલ	Abu'l-Fazl ibn Mubarak
પેપ્સીકો	PepsiCo
ગ્યાની ઝૈલસીંઘ	Zail Singh
રાહુલ બોસ	Rahul Bose
રાજા રામમોહનરાય	Rama Mohana Raya
ગીર રાષ્ટ્રીય ઉદ્યાન અને અભયારણ્ય	Gir nationalpark
રજપુત	Rajput
દિવેલ	Ricinolja
ગુરુદ્વારા	Gurdwara
ઉત્તર ૨૪ પરગણા જિલ્લો	Uttar 24 Parganas
નોબેલ પારિતોષિક વડે સન્માનીત મહાનુભાવો	Lista över nobelpristagare
સમય વ્યવસ્થાપન	Tidshantering
આદિવાસી	Adivasi
અડદ	Vigna mungo
ક્રેડિટ સૂઈસ	Credit Suisse
કૃત્રિમ પેસમેકર	Pacemaker
રાયપુર (છત્તીસગઢ)	Raipur
ચિત્તાગોંગ	Chittagong
દિલીપ કુમાર	Dilip Kumar
સુનિલ દત્ત	Sunil Dutt
સી રાજગોપાલાચારી	Rajaji
કરૌલી	Karauli
ધર્મેન્દ્ર	Dharmendra
થાઇલેન્ડનો ઇતિહાસ	Thailands historia
ક્રિયાવિશેષણ	Adverb
મોતીલાલ નહેરૂ	Motilal Nehru
માર્કો કાસાગ્રાન્ડ	Marco Casagrande
ઊર્જા બચત	Energieffektivisering
વિડિયો કેસેટ રેકોર્ડર (વીસીઆર)	Videobandspelare
કાર્તિકેય	Karttikeya
મોલિનીઊ સ્ટેડિયમ	Molineux Ground
સોજી	Mannagryn
અનિલ અંબાણી	Anil Ambani
સુશ્રુત	Sushruta
સંચય	Periodisering (ekonomi)
વસ્તીવધારો	Befolkningstillväxt
અગસ્ત્ય	Agastya
યુઇએફએ યૂરો ૨૦૧૨ સમયક્રમ	Europamästerskapet i fotboll 2012 (utslagsspel)
માથ્થીની લખેલી સુવાર્તા	Matteusevangeliet
અગ્નિ	Agni
અમદાવાદ જિલ્લો	Ahmedabad (distrikt)
અહમદનગર જિલ્લો	Ahmednagar (distrikt)
કારગિલ યુદ્ધ	Kargilkriget
ડાર્ટ (પ્રોગ્રામિંગ ભાષા)	Dart (programspråk)
એર ઈન્ડિયા ફ્લાઇટ ૧૮૨	Air India Flight 182
ઇલેક્ટ્રોપ્લેટિંગ (વિદ્યુતવિઘટન દ્વારા ઢોળ ચઢાવવાની પ્રક્રિયા)	Galvanisering
અજમેર જિલ્લો	Ajmer (distrikt)
અજમો	Ajowan
યુ.જી.કૃષ્ણમુર્તિ	Uppaluri Gopali Krishnamurti
કારેલું	Bittergurka
સાંગલી	Sangli
જન્માષ્ટમી	Janmastami
લોપકચિહ્ન	Apostrof
અલવાર જિલ્લો	Alwar (distrikt)
આંબેડકર નગર જિલ્લો	Ambedkar Nagar
ઝિટ્ટારા	TAR-21
ફેડએક્સ	Fedex
સોલન	Solan
દમણ	Daman
મહાબળેશ્વર	Mahabaleshwar
નિલગીરી માઉન્ટેઇન રેલ્વે	Nilgiri Mountain Railway
દાર્જીલીંગ હિમાલયન રેલ્વે	Darjeeling Himalayan Railway
સાયના નેહવાલ	Saina Nehwal
મીરા નાયર	Mira Nair
મીરાંબાઈ	Mira Bai
મહાદેવી વર્મા	Mahadevi Varma
કેન્દ્રશાસિત પ્રદેશ	Unionsterritorium
વેરાઇઝન કમ્યુનિકેશન્સ	Verizon
જીમ કોર્બેટ	Jim Corbett (jägare)
હેરી બ્રેર્લી	Harry Brearley
વિજેન્દર સિંઘ	Vijender Kumar
રામફળ	Annona reticulata
બળદ	Oxe
કલ્કિ	Kalki
ભારતનું બંધારણ	Indiens grundlag
નવરોઝ	Nouruz
શૈલી	Genre
એશિયાઈ રમતોત્સવ	Asiatiska spelen
એલન શીયરર	Alan Shearer
અનુકૂલન	Anpassning (biologisk)
એલિસ ઇન ચેઇન્સ	Alice in Chains
ગુરુ	Guru
એન્ડ્રુ કાર્નેગી	Andrew Carnegie
મગ	Mungböna
ઇ-કોમર્સ	E-handel
ઔરંગઝેબ	Aurangzeb
રાની મુખર્જી	Rani Mukerji
આણંદ જિલ્લો	Anand (distrikt)
હુમાયુ	Humajun
દુનિયાની પ્રાચીન સાત અજાયબીઓ	Världens sju underverk
ગંગાનગર	Ganganagar
સમોસા	Samosa
મઊ	Maunath Bhanjan
ડી. ડબલ્યુ. સ્ટેડિયમ	DW Stadium
ચોળા	Ögonböna
કાલિમપોંગ	Kalimpong
બ્રિટાનિયા સ્ટેડિયમ	Britannia Stadium
ઋષિકેશ	Rishikesh
વર્ણકોષાશય	Kromatofor
રાયડો	Sareptasenap
માનસ રાષ્ટ્રીય ઉદ્યાન	Manas nationalpark
ઇલેક્ટ્રોમાયોગ્રાફી	Elektromyografi
દેશી કાગડો	Huskråka
જંતર મંતર	Jantar Mantar
મઠ	Vigna aconitifolia
બકરી ઈદ	Eid Al-Adha
વેરાવળ	Veraval
અકોલા જિલ્લો	Akola (distrikt)
ભૂસ્તરશાસ્ત્રી	Geolog
ગડગ	Gadag-Betigeri
આંકડો (વનસ્પતિ)	Kronbuske
આઝમગઢ	Azamgarh
ગુલાબી પેણ	Rosaryggig pelikan
રોનાલ્ડો	Ronaldo Luís Nazário de Lima
બાવળ	Gummi arabicum
ઝાલાવાડ	Jhalawar
લિમ્બો(પ્રોગ્રામિંગ ભાષા)	Limbo (programspråk)
ઉધઈ	Termiter
હુગલી જિલ્લો	Hugli (distrikt)
નાશ પામેલા કપોત	Drontfåglar
ભરતપુર	Bharatpur
ચિત્તરંજનદાસ	Chitta Ranjan Das
સેન્ટ મેરી સ્ટેડિયમ	St Mary's Stadium
દૂધરાજ	Asiatisk paradisflugsnappare
કદંબ	Neolamarckia cadamba
કપિલ	Kapila
ઉત્તર કન્નડ જિલ્લો	Uttara Kannada
પાટણ	Patan, Gujarat
ગોલપારા	Goalpara
લિબર્ટી સ્ટેડિયમ	Liberty Stadium
માલેગાંવ	Malegaon
સાતારા	Satara
ઔરૈયા	Auraiya
અકબરપુર	Akbarpur, Kanpur Dehat
ઉડ્ડપી	Udupi
અમરોહા	Amroha
એલેપ્પી	Alappuzha
નયાગઢ	Nayagarh
અલંગ	Alang
અરાહ	Arrah
બદ્રીનાથ	Badrinathpuri
અલમોડા	Almora
અંકલેશ્વર	Anklesvar
અમલનેર	Amalner
અમરેલી	Amreli
ઔરંગાબાદ, બિહાર	Aurangabad, Bihar
મૈસૂર જિલ્લો	Mysuru (distrikt)
ઔરંગાબાદ જિલ્લો	Aurangabad (distrikt i Maharashtra)
બુરહાનપુર	Burhanpur
કુરુક્ષેત્ર	Kurukshetra
સિટી ગ્રાઉન્ડ	City Ground
પન્ના	Panna, Indien
રાજસમન્દ જિલ્લો	Rajsamand (distrikt)
મલાગીર કસ્તુરો	Orangetrast
શ્યામમુખ વાઘોમડા	Masksula
ભારતીય માનક સમય	Indian Standard Time
મંડલા	Mandla
મધિયો	Tofsbivråk
રાજાલાલ	Eldminivett
વેલી ઓફ ફ્લાવર્સ રાષ્ટ્રીય ઉદ્યાન	Valley of Flowers nationalpark
હિતોપદેશ	Hitopadesha
આગ્રા જિલ્લો	Agra (distrikt)
સોનભદ્ર જિલ્લો	Sonbhadra (distrikt)
તિરુવલ્લુર	Thiruvallur
કાંકેર	Kanker
કાનપુર દેહાત જિલ્લો	Kanpur Dehat
પશ્ચિમ સિક્કિમ જિલ્લો	West Sikkim
કન્નોજ	Kannauj
એલેન્ડ રોડ	Elland Road
કિંગ પાવર સ્ટેડિયમ	King Power Stadium
હોશંગાબાદ	Hoshangabad
દહીં	Kvarg
પ્રિફર્ડ સ્ટોક	Preferensaktie
બાગપત	Baghpat
બાલાસિનોર	Balasinor
અરવલ્લી	Aravalli
કન્નોજ જિલ્લો	Kannauj (distrikt)
કે સી સ્ટેડિયમ	KC Stadium
તુવેર	Cajanus cajan
બલાંગીર	Balangir
વાંસવાડા	Banswara
બલ્લારપુર	Ballarpur
ડેરી	Mejeri
બહરૈચ	Bahraich
ગોડ્ડા જિલ્લો	Godda
ઓરાઇ	Orai
બાલેશ્વર	Baleshwar
હિલ્સબોરો સ્ટેડિયમ	Hillsborough Stadium
ઉજળો ગીધ	Snögam
માઇક્રોસોફ્ટ ઓફિસ ૨૦૦૭	Microsoft Office 2007
ભિવંડી	Bhiwandi
રતલામ	Ratlam
ખંભાતનો અખાત	Cambaybukten
સિરમૌર જિલ્લો	Sirmaur (distrikt)
બાજરો	Pärlhirs
સાધુ	Sadhu
છત્રપુર	Chhatrapur
કોટ્ટયમ	Kottayam
હીજડા	Hijras
કાંગડા	Kangra
લક્સ (સાબુ)	Lux (tvål)
મસૂરી	Mussoorie
ઘંટી	Kvarnsten
શ્રીકાકુલમ	Srikakulam
પદ્મવિભૂષણ	Padma Vibhushan
માચુ પીચુ	Machu Picchu
વિપશ્યના	Vipassana
તેલંગાણા	Telangana
ટ્રાન્સપોર્ટ ફોર લંડન	Transport for London
શ્રીમદ્ ભાગવતમ્	Bhagavata Purana
ટર્ફ મૂરે	Turf Moor
ભારદ્વાજ	Bharadvaja
રિંગટોન	Ringsignal
ભારતીય સંસદ	Indiens parlament
તાપી નદી	Tapti
વર્ધમાન	Barddhaman
બારિપદા	Baripada
બરગઢ	Bargarh
લીંબડી	Limbdi
બસ્તી	Basti (distrikt)
૧૦૨ (અંક)	102 (tal)
વાલ્મીકિ	Valmiki
પંગારો	Erythrina variegata
આર્ય સમાજ	Arya Samaj
વાંદરું	Hulmaner
ટિંડોળી	Coccinia grandis
ઋગ્વેદ	Rigveda
ગાયત્રી	Gayatri
દેવરિયા જિલ્લો	Deoria (distrikt)
હઠ યોગ	Hathayoga
વેરિસાઇન	Verisign
વીંજ	Liten indisk sibetkatt
ગોપીનાથ બોરદોલોઈ	Gopinath Bordoloi
વીજલપોર	Vijalpor
યેઘીશે ચારેન્ત્સ	Yeghishe Charents
હુગલી નદી	Huglifloden
ભારતીય જ્યોતિષવિદ્યા	Jyotisha
ડુંગરપુર	Dungarpur
ઇન્દૌર જિલ્લો	Indore (distrikt)
વેક્યૂમ પંપ	Vakuumpump
પુષ્કર	Pushkar
કાળો જળ કાગડો	Indisk skarv
પાપલેટ માછલી	Havsbraxenfiskar
કોણાર્ક સૂર્ય મંદિર	Soltemplet i Konarak
જળ માર્જર	Indisk fiskarutter
તાંગ્ગુલા રેલ્વે સ્ટેશન (તિબેટ)	Tanggulas järnvägsstation
અશોક (વનસ્પતિ)	Saraca asoca
ભભુઆ	Bhabua
ભદ્રક	Bhadrak
ભિલવાડા	Bhilwara
ભરૂચ	Bharuch
ભાગલપુર	Bhagalpur
હિંગણઘાટ (વર્ધા)	Hinganghat
અલીગઢ જિલ્લો	Aligarh (distrikt)
સિંધુદુર્ગ જિલ્લો	Sindhudurg
દક્ષિણ એશિયા	Sydasien
નૈનિતાલ	Nainital
રામનાથપુરમ	Ramanathapuram
ગંજામ જિલ્લો	Ganjam (distrikt)
કપૂરથલા	Kapurthala
સ્વલૈંગિકૌત્તેજના	Autoerotik
કંપની (કાયદો)	Företag
આઝમગઢ જિલ્લો	Azamgarh (distrikt)
અઝટેક ચિત્રલિપિ	Aztekisk skrift
દરજીડો	Skräddarfågel
ભિંડ	Bhind
ભુસાવળ	Bhusawal
બિજનૌર	Bijnor
બીએસઈ સેન્સેક્સ	BSE Sensex
બાબર	Babur
ભુજ	Bhuj
કોયલ	Asiatisk koel
બદૌન	Budaun
બનારસ હિંદુ યુનિવર્સિટી	Banaras Hindu University
બનાસકાંઠા જિલ્લો	Banaskantha
વાંસવાડા જિલ્લો	Banswara (distrikt)
શિન્તો	Shinto
સમઘન	Kub
બીડ	Bid
બીડ જિલ્લો	Bid (distrikt)
કરુર	Karur
સામાજિક સાહસિકતા	Socialt entreprenörskap
દ્વારકા	Dwarka
પત્તાદકલ	Pattadakal
તાલુકો	Tehsil
ગંગોત્રી	Gangotri
સેન્ટ એન્ડ્રુ સ્ટેડિયમ	St Andrew's (stadium)
ભારતીય રેલ	Indiens järnvägar
બ્રાહ્મણ ગ્રંથો	Brahmana
પરશુરામ	Parashurama
નાનો કરકરીયો	Fältsångare
હવા મહેલ	Hawa Mahal
ચાતક	Jakobinskatgök
સ્મૃતિ	Smriti
એસ્કેરિયાસિસ	Spolmasksinfektion
કુંતી	Kunti
મછલીપટનમ	Machilipatnam
ભારતીય તારક કાચબો	Geochelone elegans
શરણાઈ	Shehnai
ધોતીયું	Dhoti
બુંદેલખંડ	Bundelkhand
અશ્વગંધા (વનસ્પતિ)	Withania somnifera
ભાગલપુર વિભાગ (પ્રમંડલ)	Bhagalpur (division)
ભજન	Bhajan
ભરતપુર જિલ્લો	Bharatpur (distrikt)
ભરૂચ જિલ્લો	Bharuch (distrikt)
ભાવનગર જિલ્લો	Bhavnagar (distrikt)
ભૃગુ	Bhrigu
રુદ્ર	Rudra
ઝભ્ભો	Kurta
વરૂ	Indisk varg
આંતરરાષ્ટ્રીય નૃત્ય દિવસ	Dansens dag
પાંડુ	Pandu
વીર્ય દાન	Spermadonation
ચાળીસગાંવ	Chalisgaon
ચંપાવત	Champawat
ચંદ્રપૂર	Chandrapur
બુંદી	Bundi
ઘોરાડ	Indisk trapp
ભારતનું પ્રવેશદ્વાર	Gateway of India
કાર્ડિફ સિટી સ્ટેડિયમ	Cardiff City Stadium
ચૈતન્ય મહાપ્રભુ	Chaitanya
સંબલપુર	Sambalpur
ઈટાવા	Etawah
વેળાવદર કાળિયાર રાષ્ટ્રીય ઉદ્યાન	Velavadar nationalpark
બ્રહ્મોસમાજ	Brahma-samaj
શૂદ્ર	Shudra
તુમકુર	Tumakuru
મદદ:સૂચિ	Wikipedia:Hjälp
ટોંક જિલ્લો	Tonk (distrikt)
રાયચૂર	Raichur
વેદાંગ	Vedanga
પાપડ	Pappadam
લોહરદગ્ગા	Lohardaga
કનરા બુલબુલ	Himalayabulbyl
સીતાપુર	Sitapur
બિન-નિવાસી ભારતીય અને ભારતીય મૂળની વ્યક્તિ	Non-resident Indian
શાહજીરું	Bunium persicum
લઘુ ધિરાણ	Mikrofinans
અરડૂસી	Justicia adhatoda
ધ્રોલ	Dhrol
હોશિયારપુર	Hoshiarpur
ગણેશ ચતુર્થી	Ganesh-Chaturthi
સ્વામિનારાયણ	Sahajananda Swami
રોકડીયો પાક	Avsalugröda
નાગલી	Korakan
પદ્મભૂષણ	Padma Bhushan
શિંગોડા (ફળ)	Vattenkastanj
ઉન્નાવ	Unnao
તીતર	Grå frankolin
સિરોહી	Sirohi
લોટસ ટેમ્પલ, દિલ્હી	Lotustemplet
ખાખરો	Butea monosperma
થાણા જિલ્લો	Thane (distrikt)
ભારતીય રિઝર્વ બેંક	Indiens centralbank
સિલચર	Silchar
સવાઇ માધોપુર	Sawai Madhopur
શાસ્ત્રીય ભાષા	Klassiska språk
શોલે	Sholay
લાખ	Lakh
જીમ કોર્બેટ રાષ્ટ્રીય ઉદ્યાન	Jim Corbett nationalpark
પાલનપુર	Palanpur
ગોરડ	Acacia senegal
મિર્જાપુર	Mirzapur-cum-Vindhyāchal
કોપ્પલ જિલ્લો	Koppal
